timestamp,inf_time_ms,fps,detections
2026-02-12T05:32:18.169979,19.08,13.00,0
2026-02-12T05:32:18.201621,20.10,13.02,0
2026-02-12T05:32:18.239857,24.09,13.04,0
2026-02-12T05:32:18.269888,18.58,13.06,0
2026-02-12T05:32:18.310921,18.24,13.08,0
2026-02-12T05:32:18.334795,19.84,13.10,0
2026-02-12T05:32:18.367927,18.79,13.12,0
2026-02-12T05:32:18.407964,26.02,13.13,0
2026-02-12T05:32:18.437575,21.67,13.15,0
2026-02-12T05:32:18.466651,18.52,13.18,0
2026-02-12T05:32:18.502687,19.96,13.19,0
2026-02-12T05:32:18.534197,19.51,13.21,0
2026-02-12T05:32:18.567465,18.72,13.23,0
2026-02-12T05:32:18.601303,20.01,13.25,0
2026-02-12T05:32:18.639119,24.63,13.27,0
2026-02-12T05:32:18.675806,21.26,13.28,0
2026-02-12T05:32:18.712353,26.04,13.30,0
2026-02-12T05:32:18.735084,19.93,13.32,0
2026-02-12T05:32:18.769411,18.67,13.34,0
2026-02-12T05:32:18.872433,29.48,13.33,0
2026-02-12T05:32:18.962089,29.57,13.32,0
2026-02-12T05:32:19.017992,24.20,13.33,0
2026-02-12T05:32:19.147684,84.89,13.31,0
2026-02-12T05:32:19.174956,27.02,13.33,0
2026-02-12T05:32:19.203614,19.43,13.35,0
2026-02-12T05:32:19.269065,24.41,13.35,0
2026-02-12T05:32:19.344629,27.84,13.35,0
2026-02-12T05:32:19.409625,27.58,13.36,0
2026-02-12T05:32:19.429530,19.68,13.38,0
2026-02-12T05:32:19.448173,18.45,13.40,0
2026-02-12T05:32:19.467519,19.15,13.43,0
2026-02-12T05:32:19.484801,17.10,13.45,0
2026-02-12T05:32:19.501601,16.62,13.48,0
2026-02-12T05:32:19.518137,16.38,13.50,0
2026-02-12T05:32:19.533941,15.64,13.53,0
2026-02-12T05:32:19.549645,15.54,13.55,0
2026-02-12T05:32:19.566132,16.32,13.58,0
2026-02-12T05:32:19.583079,16.76,13.60,0
2026-02-12T05:32:19.599932,16.09,13.63,0
2026-02-12T05:32:19.635841,18.71,13.65,0
2026-02-12T05:32:19.672266,18.72,13.66,0
2026-02-12T05:32:19.704169,20.44,13.68,0
2026-02-12T05:32:19.737352,20.71,13.70,0
2026-02-12T05:32:19.771560,21.26,13.71,0
2026-02-12T05:32:19.807877,24.10,13.73,0
2026-02-12T05:32:19.901913,68.17,13.72,1
2026-02-12T05:32:19.976628,74.01,13.72,1
2026-02-12T05:32:20.003360,26.50,13.74,1
2026-02-12T05:32:20.029717,26.08,13.76,1
2026-02-12T05:32:20.053726,23.78,13.78,1
2026-02-12T05:32:20.083342,24.75,13.80,1
2026-02-12T05:32:20.109412,20.62,13.82,1
2026-02-12T05:32:20.150107,27.25,13.84,1
2026-02-12T05:32:20.185195,23.66,13.85,1
2026-02-12T05:32:20.219473,27.75,13.87,1
2026-02-12T05:32:20.249864,24.83,13.89,1
2026-02-12T05:32:20.285042,25.06,13.90,1
2026-02-12T05:32:20.333015,29.96,13.91,1
2026-02-12T05:32:20.372810,26.11,13.93,1
2026-02-12T05:32:20.397220,24.18,13.95,1
2026-02-12T05:32:20.422587,25.14,13.97,1
2026-02-12T05:32:20.467854,26.38,13.98,1
2026-02-12T05:32:20.495607,25.68,14.00,1
2026-02-12T05:32:20.522821,25.82,14.02,1
2026-02-12T05:32:21.787482,1243.50,13.51,1
2026-02-12T05:32:21.816376,28.60,13.53,1
2026-02-12T05:32:21.845394,28.80,13.55,1
2026-02-12T05:32:21.865800,20.17,13.57,1
2026-02-12T05:32:21.890652,21.97,13.59,1
2026-02-12T05:32:21.971138,56.91,13.59,1
2026-02-12T05:32:21.998829,27.46,13.61,1
2026-02-12T05:32:22.025465,23.11,13.63,0
2026-02-12T05:32:22.053031,20.94,13.65,1
2026-02-12T05:32:22.092773,17.86,13.66,0
2026-02-12T05:32:22.118802,17.19,13.68,0
2026-02-12T05:32:22.155428,20.70,13.69,0
2026-02-12T05:32:22.189814,21.51,13.71,0
2026-02-12T05:32:22.236655,30.65,13.72,0
2026-02-12T05:32:22.256093,19.25,13.74,0
2026-02-12T05:32:22.305176,21.08,13.75,0
2026-02-12T05:32:22.321158,15.79,13.78,0
2026-02-12T05:32:22.358061,18.51,13.79,0
2026-02-12T05:32:22.402452,21.26,13.80,0
2026-02-12T05:32:22.428250,21.10,13.82,0
2026-02-12T05:32:22.465636,20.58,13.83,0
2026-02-12T05:32:22.497513,22.55,13.85,0
2026-02-12T05:32:22.529505,19.31,13.87,0
2026-02-12T05:32:22.561900,19.41,13.88,0
2026-02-12T05:32:22.594531,19.14,13.90,0
2026-02-12T05:32:22.636831,24.16,13.91,0
2026-02-12T05:32:22.669554,20.62,13.93,0
2026-02-12T05:32:22.698656,23.28,13.95,0
2026-02-12T05:32:22.741390,18.78,13.96,0
2026-02-12T05:32:22.759835,18.29,13.98,0
2026-02-12T05:32:22.799405,24.39,13.99,0
2026-02-12T05:32:22.853807,28.87,14.00,0
2026-02-12T05:32:22.888101,24.89,14.01,0
2026-02-12T05:32:22.911861,23.53,14.03,0
2026-02-12T05:32:22.934338,22.28,14.05,0
2026-02-12T05:32:22.965091,21.24,14.07,0
2026-02-12T05:32:22.995330,20.63,14.09,0
2026-02-12T05:32:23.029684,20.50,14.10,0
2026-02-12T05:32:23.062389,21.81,14.12,0
2026-02-12T05:32:23.099160,24.35,14.13,0
2026-02-12T05:32:23.129194,19.87,14.15,0
2026-02-12T05:32:23.161776,19.79,14.16,0
2026-02-12T05:32:23.201249,20.56,14.18,0
2026-02-12T05:32:23.236309,25.06,14.19,0
2026-02-12T05:32:23.260347,19.07,14.21,0
2026-02-12T05:32:23.294824,20.56,14.22,0
2026-02-12T05:32:23.337068,25.19,14.24,0
2026-02-12T05:32:23.364172,23.72,14.25,0
2026-02-12T05:32:23.394148,18.68,14.27,0
2026-02-12T05:32:23.431747,20.73,14.28,0
2026-02-12T05:32:23.468280,26.69,14.30,0
2026-02-12T05:32:23.496924,23.39,14.31,0
2026-02-12T05:32:23.535220,27.88,14.33,0
2026-02-12T05:32:23.572507,26.66,14.34,0
2026-02-12T05:32:23.598146,19.73,14.36,0
2026-02-12T05:32:23.624014,18.20,14.38,0
2026-02-12T05:32:23.660544,20.33,14.39,0
2026-02-12T05:32:23.693260,20.03,14.41,0
2026-02-12T05:32:23.728068,20.98,14.42,0
2026-02-12T05:32:23.772665,26.24,14.43,0
2026-02-12T05:32:23.792490,19.33,14.45,0
2026-02-12T05:32:23.827666,19.87,14.46,0
2026-02-12T05:32:23.862341,20.65,14.48,0
2026-02-12T05:32:23.893659,20.68,14.49,0
2026-02-12T05:32:23.932653,23.70,14.51,0
2026-02-12T05:32:23.965611,19.84,14.52,0
2026-02-12T05:32:23.993838,20.30,14.54,0
2026-02-12T05:32:24.028008,20.48,14.55,0
2026-02-12T05:32:24.059647,19.13,14.57,0
2026-02-12T05:32:24.117528,41.00,14.57,0
2026-02-12T05:32:24.141374,23.63,14.59,0
2026-02-12T05:32:24.163254,20.67,14.61,0
2026-02-12T05:32:24.219128,43.04,14.61,0
2026-02-12T05:32:24.274455,54.09,14.62,0
2026-02-12T05:32:24.311649,36.79,14.63,0
2026-02-12T05:32:24.335996,24.00,14.65,0
2026-02-12T05:32:24.367865,24.04,14.67,0
2026-02-12T05:32:24.410644,29.46,14.68,0
2026-02-12T05:32:24.495714,75.03,14.67,0
2026-02-12T05:32:24.567669,71.41,14.67,0
2026-02-12T05:32:24.628191,59.94,14.67,0
2026-02-12T05:32:24.717342,88.39,14.66,0
2026-02-12T05:32:24.772235,54.39,14.67,0
2026-02-12T05:32:24.842496,69.65,14.67,0
