timestamp,e2e_latency_ms,fps
2026-02-12T05:58:23.280288,54.77,18.22
2026-02-12T05:58:23.306970,31.66,31.46
2026-02-12T05:58:23.348564,33.56,29.68
2026-02-12T05:58:23.384307,37.11,26.66
2026-02-12T05:58:23.406832,26.60,37.41
2026-02-12T05:58:23.431814,22.24,44.73
2026-02-12T05:58:23.479086,32.84,30.11
2026-02-12T05:58:23.501915,22.45,44.20
2026-02-12T05:58:23.540145,25.05,39.72
2026-02-12T05:58:23.578703,27.78,35.81
2026-02-12T05:58:23.613987,25.65,38.72
2026-02-12T05:58:23.646946,21.97,45.30
2026-02-12T05:58:23.742105,85.68,11.65
2026-02-12T05:58:23.768352,41.48,24.02
2026-02-12T05:58:23.799832,45.56,21.89
2026-02-12T05:58:23.827205,40.48,24.62
2026-02-12T05:58:23.864339,44.30,22.46
2026-02-12T05:58:23.902974,43.20,23.05
2026-02-12T05:58:23.931068,45.14,22.09
2026-02-12T05:58:23.956869,36.97,26.94
2026-02-12T05:58:23.981231,26.52,37.39
2026-02-12T05:58:24.011301,27.11,36.67
2026-02-12T05:58:24.039145,22.96,43.24
2026-02-12T05:58:24.074776,22.94,43.18
2026-02-12T05:58:24.124042,39.63,25.15
2026-02-12T05:58:24.151689,29.71,32.13
2026-02-12T05:58:24.179099,26.88,36.95
2026-02-12T05:58:24.213341,28.37,35.09
2026-02-12T05:58:24.241639,23.55,42.20
2026-02-12T05:58:24.279671,24.30,40.35
2026-02-12T05:58:24.313750,25.49,39.00
2026-02-12T05:58:24.339498,18.48,53.79
2026-02-12T05:58:24.383792,24.65,40.09
2026-02-12T05:58:24.412632,24.65,40.36
2026-02-12T05:58:24.440444,19.91,49.91
2026-02-12T05:58:24.481820,24.02,40.53
2026-02-12T05:58:24.534481,27.05,36.41
2026-02-12T05:58:24.560017,34.27,29.07
2026-02-12T05:58:24.583340,26.72,37.24
2026-02-12T05:58:24.616430,25.85,38.40
2026-02-12T05:58:24.649999,24.04,41.39
2026-02-12T05:58:24.687413,24.37,40.74
2026-02-12T05:58:24.725977,32.71,30.45
2026-02-12T05:58:24.752967,25.20,39.43
2026-02-12T05:58:24.781387,20.03,49.60
2026-02-12T05:58:24.823037,25.70,38.72
2026-02-12T05:58:24.856079,22.03,45.03
2026-02-12T05:58:24.891888,26.80,37.08
2026-02-12T05:58:24.932789,33.70,29.57
2026-02-12T05:58:24.959050,27.71,35.94
2026-02-12T05:58:24.985794,20.77,47.88
2026-02-12T05:58:25.081495,76.71,13.02
2026-02-12T05:58:25.108485,39.44,25.28
2026-02-12T05:58:25.128568,30.41,32.78
2026-02-12T05:58:25.156813,23.69,42.03
2026-02-12T05:58:25.220607,24.40,40.75
2026-02-12T05:58:25.240110,32.15,31.00
2026-02-12T05:58:25.260152,24.94,39.91
2026-02-12T05:58:25.283902,19.31,51.49
2026-02-12T05:58:25.320352,21.82,45.50
2026-02-12T05:58:25.359590,25.95,38.37
2026-02-12T05:58:25.385978,18.64,53.25
2026-02-12T05:58:25.415946,19.16,51.89
2026-02-12T05:58:25.451414,20.48,48.60
2026-02-12T05:58:25.493036,23.47,42.41
2026-02-12T05:58:25.518678,21.31,46.63
2026-02-12T05:58:25.554472,23.89,41.63
2026-02-12T05:58:25.586750,18.02,55.05
2026-02-12T05:58:25.618765,21.50,45.92
2026-02-12T05:58:25.655731,22.51,44.20
2026-02-12T05:58:25.696969,21.17,46.98
2026-02-12T05:58:25.717211,19.42,51.19
2026-02-12T05:58:25.752595,20.21,49.18
